Ticker,FloatShares
ATEN,69744506
ACCO,86368476
BHFAO,56526981
SJT,44193811
SA,81401623
KBSX,34451915
RTACU,0
SB,55297923
ZGN,60919770
CMRE,43325594
DLX,43821241
MG,19067304
ANGO,38434549
RMBI,8256378
PX,81814769
GEL,88355971
DLHC,12233977
KW,117975104
ICMB,12088150
DRVN,59186781
YORK,
NAVI,96720312
SHIP,13590865
SUNS,9618686
HDSN,38294654
MITK,44155124
DDI,593120
ACNT,7830964
RPTX,30823183
AVS,
BLFY,18738489
AVAL,143968565
TBPH,46290545
SNTG,1059326
MRTN,57501229
IMMR,26983415
EFXT,122343975
DAKT,43370432
MSBI,20253381
SPNT,107002717
SD,31361756
FVCB,14854942
VBNK,20422879
AUNA,56139968
CNNE,49603065
BCBP,14871504
YORKU,
AFYA,24475549
DHCNI,0
NFBK,36290426
CGNT,60166752
